,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/reno:1,14,14.0-15.0 sec,2.38,MBytes,19.9,Mbits/sec,1.25,MBytes,10.5,Mbits/sec
reno/reno:1,15,15.0-16.0 sec,2.00,MBytes,16.8,Mbits/sec,1.25,MBytes,10.5,Mbits/sec
reno/reno:1,16,16.0-17.0 sec,1.38,MBytes,11.5,Mbits/sec,1.50,MBytes,12.6,Mbits/sec
reno/reno:1,17,17.0-18.0 sec,1.88,MBytes,15.7,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
reno/reno:1,18,18.0-19.0 sec,2.25,MBytes,18.9,Mbits/sec,1.50,MBytes,12.6,Mbits/sec
reno/reno:1,19,19.0-20.0 sec,1.38,MBytes,11.5,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
reno/reno:2,0,0.0- 1.0 sec,1.62,MBytes,13.6,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
reno/reno:2,1,1.0- 2.0 sec,1.75,MBytes,14.7,Mbits/sec,640,KBytes,5.24,Mbits/sec
reno/reno:2,2,2.0- 3.0 sec,1.00,MBytes,8.39,Mbits/sec,896,KBytes,7.34,Mbits/sec
reno/reno:2,3,3.0- 4.0 sec,1.38,MBytes,11.5,Mbits/sec,768,KBytes,6.29,Mbits/sec
reno/reno:2,4,4.0- 5.0 sec,1.12,MBytes,9.44,Mbits/sec,768,KBytes,6.29,Mbits/sec
reno/reno:2,5,5.0- 6.0 sec,1.25,MBytes,10.5,Mbits/sec,640,KBytes,5.24,Mbits/sec
reno/reno:2,6,6.0- 7.0 sec,1.00,MBytes,8.39,Mbits/sec,768,KBytes,6.29,Mbits/sec
reno/reno:2,7,7.0- 8.0 sec,417,KBytes,3.42,Mbits/sec,768,KBytes,6.29,Mbits/sec
reno/reno:2,8,8.0- 9.0 sec,512,KBytes,4.19,Mbits/sec,896,KBytes,7.34,Mbits/sec
reno/reno:2,9,9.0-10.0 sec,506,KBytes,4.15,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
